name,author,publisher,price,id,rating
Мартин Иден,Лондон Джек,АСТ,248 руб.,463784,9.68(Оценок: 188)
Повесть о Ходже Насреддине,Соловьев Леонид Васильевич,Т8,2402 руб.,931324,0.00(Оценок: 0)
Эроусмит,Синклер Льюис,Т8,2284 руб.,931325,0.00(Оценок: 0)
Белеет парус одинокий,Катаев Валентин Петрович,Азбука,922 руб.,915966,10.00(Оценок: 5)
Любовник леди Чаттерли,Лоуренс Дэвид Герберт,Азбука,222 руб.,35927,7.86(Оценок: 14)
Собор Парижской Богоматери,Гюго Виктор,Азбука,231 руб.,36435,9.40(Оценок: 15)
Опасные связи: Роман,Лакло Шодерло де,Азбука,222 руб.,35920,9.83(Оценок: 35)
Поднятая целина,Шолохов Михаил Александрович,Азбука,323 руб.,491516,8.62(Оценок: 8)
Семейный круг,Моруа Андре,Азбука,551 руб.,917033,10.00(Оценок: 2)
Странная история доктора Джекила и мистера Хайда,Стивенсон Роберт Льюис,Азбука,232 руб.,121022,9.34(Оценок: 56)
"Моби Дик, или Белый Кит",Мелвилл Герман,Эксмо,261 руб.,915818,7.00(Оценок: 1)
Портрет Дориана Грея и другие сочинения в одном томе,Уайльд Оскар,Эксмо,777 руб.,900289,8.00(Оценок: 3)
Горе от ума,Грибоедов Александр Сергеевич,Эксмо-Пресс,252 руб.,926050,0.00(Оценок: 0)
Что делать?,Чернышевский Николай Гаврилович,Азбука,232 руб.,357535,7.67(Оценок: 12)
Дубровский. Пиковая дама. Египетские ночи,Пушкин Александр Сергеевич,Азбука,193 руб.,925889,10.00(Оценок: 1)
"Пожалуйста, избавьте от греха",Стаут Рекс,Иностранка,843 руб.,925726,10.00(Оценок: 2)
Прекрасные и проклятые. Истории века джаза,Фицджеральд Фрэнсис Скотт,Иностранка,1057 руб.,925724,10.00(Оценок: 4)
Всадник без головы,Майн Рид Томас,Азбука,215 руб.,382833,9.73(Оценок: 37)
Дон Кихот,Сервантес Мигель де Сааведра,Азбука,215 руб.,377568,8.96(Оценок: 25)
Белая гвардия. Дни Турбиных. Бег,Булгаков Михаил Афанасьевич,Эксмо,607 руб.,930961,0.00(Оценок: 0)
Титан,Драйзер Теодор,Эксмо-Пресс,413 руб.,930958,10.00(Оценок: 2)
арты. Нечисть. Безумие. Рассказы русских писателей,,Эксмо,540 руб.,930963,0.00(Оценок: 0)
